Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",3302300576,-103.0760355,48.7776889,209197,Otis 1-13H,4532,Otis 1 - Tank 3,3,404.77031,1.686542958,13,161N,096W,DIVIDE
"Continental Resources, Inc.",3305303091,-103.0132945,47.8481396,209199,Miles 2-6T,4811,Miles 2 - Tank 1,1,400.37856,1.668244,7,150N,096W,MC KENZIE
"Continental Resources, Inc.",3305303091,-103.0132945,47.8481396,209199,Miles 2-6T,4812,Miles 2 - Tank 2,2,400.37856,1.668244,7,150N,096W,MC KENZIE
"Continental Resources, Inc.",3305303091,-103.0132945,47.8481396,209199,Miles 2-6T,4813,Miles 2 - Tank 3,3,400.37856,1.668244,7,150N,096W,MC KENZIE
"Continental Resources, Inc.",3305303092,-103.0134251,47.8481396,209200,Kennedy 1-31M,4816,Kennedy 1 - Tank 1,1,400.37856,1.668244,31,151N,096W,MC KENZIE
"Continental Resources, Inc.",3305303092,-103.0134251,47.8481396,209200,Kennedy 1-31M,4817,Kennedy 1 - Tank 2,2,400.37856,1.668244,31,151N,096W,MC KENZIE
"Continental Resources, Inc.",3305303092,-103.0134251,47.8481396,209200,Kennedy 1-31M,4818,Kennedy 1 - Tank 3,3,400.37856,1.668244,31,151N,096W,MC KENZIE
"Continental Resources, Inc.",3302501060,-102.7765639,47.3853925,209203,Roadrunner 1-15H,4776,Roadrunner - Tank 1,1,400.37856,1.668244,15,145N,095W,DUNN
"Continental Resources, Inc.",3302501060,-102.7765639,47.3853925,209203,Roadrunner 1-15H,4777,Roadrunner - Tank 2,2,400.37856,1.668244,15,145N,095W,DUNN
"Continental Resources, Inc.",3302501060,-102.7765639,47.3853925,209203,Roadrunner 1-15H,4778,Roadrunner - Tank 3,3,400.37856,1.668244,15,145N,095W,DUNN
"Continental Resources, Inc.",3305303084,-103.0844681,47.8754676,209207,Muri 1-27H,4514,Muri - Tank 1,1,404.77031,1.686542958,27,151N,097W,MC KENZIE
"Continental Resources, Inc.",3305303084,-103.0844681,47.8754676,209207,Muri 1-27H,4515,Muri - Tank 2,2,404.66471,1.686102958,27,151N,097W,MC KENZIE
"Continental Resources, Inc.",3305303084,-103.0844681,47.8754676,209207,Muri 1-27H,4516,Muri - Tank 3,3,404.71626,1.68631775,27,151N,097W,MC KENZIE
"Continental Resources, Inc.",3302300670,-103.1060739,48.6903551,209212,Fortier 2-17H,5505,Fortier 2 - Tank 1,1,400.37856,1.668244,17,160N,096W,DIVIDE
"Continental Resources, Inc.",3302300670,-103.1060739,48.6903551,209212,Fortier 2-17H,5506,Fortier 2 - Tank 2,2,400.37856,1.668244,17,160N,096W,DIVIDE
"Continental Resources, Inc.",3302300670,-103.1060739,48.6903551,209212,Fortier 2-17H,5507,Fortier 2 - Tank 3,3,400.37856,1.668244,17,160N,096W,DIVIDE
"Continental Resources, Inc.",3302300595,-103.0134049,48.6921925,209240,Viola 2-7H,4630,Viola 2 - Tank 1,1,404.77031,1.686542958,7,160N,095W,DIVIDE
"Continental Resources, Inc.",3302300595,-103.0134049,48.6921925,209240,Viola 2-7H,4631,Viola 2 - Tank 2,2,404.82311,1.686762958,7,160N,095W,DIVIDE
"Continental Resources, Inc.",3302300595,-103.0134049,48.6921925,209240,Viola 2-7H,4632,Viola 2 - Tank 3,3,404.87569,1.686982042,7,160N,095W,DIVIDE
"Continental Resources, Inc.",3302300602,-103.0024679,48.7773576,209241,Shonna 2-15H,4730,Shonna 2 - Tank 1,1,404.61066,1.68587775,15,161N,095W,DIVIDE
"Continental Resources, Inc.",3302300602,-103.0024679,48.7773576,209241,Shonna 2-15H,4731,Shonna 2 - Tank 2,2,404.55786,1.68565775,15,161N,095W,DIVIDE
"Continental Resources, Inc.",3302300602,-103.0024679,48.7773576,209241,Shonna 2-15H,4732,Shonna 2 - Tank 3,3,404.61066,1.68587775,15,161N,095W,DIVIDE
"Continental Resources, Inc.",3302501104,-102.8314383,47.4162284,209259,Skachenko 2-31H,5450,Skachenko 2 - Tank 1,1,400.37856,1.668244,31,146N,095W,DUNN
"Continental Resources, Inc.",3302501104,-102.8314383,47.4162284,209259,Skachenko 2-31H,5451,Skachenko 2 - Tank 2,2,400.37856,1.668244,31,146N,095W,DUNN
"Continental Resources, Inc.",3302501104,-102.8314383,47.4162284,209259,Skachenko 2-31H,5452,Skachenko 2 - Tank 3,3,400.37856,1.668244,31,146N,095W,DUNN
"Continental Resources, Inc.",3302501102,-102.8311797,47.4162281,209260,Skachenko 3-31H,5455,Skachenko 3 - Tank 1,1,400.37856,1.668244,31,146N,095W,DUNN
"Continental Resources, Inc.",3302501102,-102.8311797,47.4162281,209260,Skachenko 3-31H,5456,Skachenko 3 - Tank 2,2,400.37856,1.668244,31,146N,095W,DUNN
"Continental Resources, Inc.",3302501102,-102.8311797,47.4162281,209260,Skachenko 3-31H,5457,Skachenko 3 - Tank 3,3,400.37856,1.668244,31,146N,095W,DUNN
"Continental Resources, Inc.",3302501103,-102.8313091,47.4162281,209261,Meadowlark 2-6H,5460,Meadowlark 2 - Tank 1,1,400.37856,1.668244,6,145N,095W,DUNN
"Continental Resources, Inc.",3302501103,-102.8313091,47.4162281,209261,Meadowlark 2-6H,5461,Meadowlark 2 - Tank 2,2,400.37856,1.668244,6,145N,095W,DUNN
"Continental Resources, Inc.",3302501103,-102.8313091,47.4162281,209261,Meadowlark 2-6H,5462,Meadowlark 2 - Tank 3,3,400.37856,1.668244,6,145N,095W,DUNN
"Continental Resources, Inc.",3302501101,-102.8310505,47.4162278,209262,Meadowlark 3-6H,5465,Meadowlark 3 - Tank 1,1,400.37856,1.668244,6,145N,095W,DUNN
"Continental Resources, Inc.",3302501101,-102.8310505,47.4162278,209262,Meadowlark 3-6H,5466,Meadowlark 3 - Tank 2,2,400.37856,1.668244,6,145N,095W,DUNN
"Continental Resources, Inc.",3302501101,-102.8310505,47.4162278,209262,Meadowlark 3-6H,5467,Meadowlark 3 - Tank 3,3,400.37856,1.668244,6,145N,095W,DUNN
"Continental Resources, Inc.",3310501827,-104.0219558,48.2422206,209263,Horob 1-14H,5256,Horob - Tank 1 (50569),1,404.45,1.685208333,14,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501827,-104.0219558,48.2422206,209263,Horob 1-14H,5257,Horob - Tank 2 (50559),2,404.56,1.685666667,14,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501827,-104.0219558,48.2422206,209263,Horob 1-14H,5258,Horob - Tank 3 (50566),3,404.56,1.685666667,14,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501826,-104.021953,48.2399728,209264,Panasuk 1-23H,4836,Panasuk 1 - Tank 1,1,404.71626,1.68631775,23,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501826,-104.021953,48.2399728,209264,Panasuk 1-23H,4837,Panasuk 1 - Tank 2,2,404.77031,1.686542958,23,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501826,-104.021953,48.2399728,209264,Panasuk 1-23H,4838,Panasuk 1 - Tank 3,3,404.66346,1.68609775,23,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501802,-103.9763796,48.242238,209265,Ricky 1-18H,4699,Ricky - Tank 1,1,400.84786,1.670199417,18,155N,103W,WILLIAMS
